City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Dingle,PH,76.12,light rain,10.9995,122.6711,SEGAYA PROPERTY
3,Faanui,PF,79.61,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Hilo,US,83.62,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
10,Yinchuan,CN,79.86,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
15,Kavaratti,IN,82.49,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
19,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
23,Adiake,CI,78.39,scattered clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
25,Avarua,CK,75.25,light intensity shower rain,-21.2078,-159.775,Paradise Inn
26,Butaritari,KI,83.61,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Port Blair,IN,81.57,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
34,Jackson,US,88.16,clear sky,42.4165,-122.8345,Agate Village Apartments
35,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
37,Saint Anthony,US,83.8,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
40,Nizwa,OM,85.17,broken clouds,22.9333,57.5333,Orient Apartments
41,Svrljig,RS,75.87,light rain,43.4133,22.1211,apartman Viktor
45,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
49,Half Moon Bay,US,84.81,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
50,Atuona,PF,77.52,light rain,-9.8,-139.0333,Villa Enata
53,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Salamiyah,SY,77.58,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
62,Akhnur,IN,86.9,overcast clouds,32.8667,74.7333,Waryam dass
63,Harper,LR,76.68,overcast clouds,4.375,-7.7169,Screensaver
66,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
70,Paulista,BR,76.86,clear sky,-7.9408,-34.8731,Hotel Chanceller
76,Muli,MV,83.23,broken clouds,2.9167,73.5667,Medhufushi Island Resort
78,Bud,US,89.55,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
80,Evanston,US,81.1,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
89,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
90,Sabang,ID,82.17,overcast clouds,5.8933,95.3214,Hotel Citra
91,Flin Flon,CA,84.04,haze,54.7682,-101.865,Victoria Inn Flin Flon
92,Salinas,US,80.56,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
95,Sabak,MY,78.85,overcast clouds,3.7675,100.9875,Homestay Nur Kasih Inap Desa
98,Korla,CN,81.81,clear sky,41.7597,86.1469,Gulisitan Hotel
100,Lompoc,US,86.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
109,Nikolskoye,RU,76.89,few clouds,59.7035,30.7861,Tourist House - Sablino
110,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
114,Jiangkou,CN,82.29,overcast clouds,25.4872,119.1986,DFM Hotel
115,Sinnamary,GF,81.61,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
117,Georgetown,MY,82.89,light rain,5.4112,100.3354,Cititel Penang
119,Orodara,BF,84.58,broken clouds,10.9492,-4.9342,Bkf Orodara
120,Suba,PH,80.22,moderate rain,10.8438,121.0102,Casita Bed and Grill
125,Rio Pardo De Minas,BR,79.63,clear sky,-15.6097,-42.5397,Hotel Oásis Cidade Alta
128,Gillette,US,87.82,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
132,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
134,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Fortuna,US,78.19,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
138,Ankang,CN,75.33,overcast clouds,32.68,109.0172,安琪酒店
141,Takoradi,GH,76.91,overcast clouds,4.8845,-1.7554,Raybow International Hotel
149,Victoria,HK,86.38,broken clouds,22.2855,114.1577,Mini Hotel Central
153,Banjar,ID,78.66,few clouds,-8.19,114.9675,The Hamsa Resort
155,Bengkulu,ID,75.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
156,Aktau,KZ,75.78,clear sky,43.65,51.2,Silk Way Hotel
159,Katsuura,JP,79.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
160,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
162,Harsin,IR,81.41,clear sky,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
163,Da Nang,VN,82.38,few clouds,16.0678,108.2208,Sun River Hotel
165,Coahuayana,MX,89.04,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
167,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
168,Messina,IT,79.0,scattered clouds,38.1933,15.5497,Hotel Touring
169,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
170,Jamestown,US,83.52,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
171,Sal Rei,CV,79.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
172,Nishihara,JP,81.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
175,Makakilo City,US,81.61,haze,21.3469,-158.0858,Marriott's Ko Olina Beach Club
177,Garden City,US,86.14,scattered clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
179,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
180,Winnipeg,CA,88.32,smoke,49.8844,-97.147,"Humphry Inn & Suites, Downtown Winnipeg"
181,Bend,US,87.24,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
194,Thompson,CA,80.76,smoke,55.7435,-97.8558,Burntwood Hotel
198,Saint-Michel-Des-Saints,CA,80.94,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
203,Turayf,SA,88.05,clear sky,31.6725,38.6637,Turaif
207,Kadhan,PK,88.61,heavy intensity rain,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
211,Felanitx,ES,75.96,few clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
212,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
223,Jining,CN,75.76,light rain,35.405,116.5814,Yunhe Star Hotel
225,Guerrero Negro,MX,79.75,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
230,Kihei,US,84.97,scattered clouds,20.785,-156.4656,Maui Sunset
235,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
239,Shahgarh,IN,85.73,overcast clouds,24.3167,79.1333,jain chat centar
240,Wajima,JP,75.43,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
242,Bandarbeyla,SO,77.74,overcast clouds,9.4942,50.8122,JABIR HOTEL
244,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
246,Savannah Bight,HN,84.99,few clouds,16.45,-85.85,Villa on Dunbar Rock
249,Kumluca,TR,88.12,clear sky,36.3703,30.2869,TurkuazKöy
251,Hithadhoo,MV,82.2,broken clouds,-0.6,73.0833,Scoop Guest House
253,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
259,San Jose,US,85.08,few clouds,37.3394,-121.895,The Westin San Jose
266,Funadhoo,MV,82.9,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
273,Nantucket,US,87.62,mist,41.2835,-70.0995,Jared Coffin House
277,Gushikawa,JP,81.63,few clouds,26.3544,127.8686,Kirari Guest House
278,Broome,US,88.7,few clouds,42.2506,-75.833,Chenango Valley State Park
279,Honiara,SB,77.54,clear sky,-9.4333,159.95,Heritage Park Hotel
281,Hobyo,SO,78.08,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
282,Hirara,JP,83.16,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
283,Hoganas,SE,76.95,clear sky,56.1997,12.558,The hotel and Co.
285,Sulangan,PH,82.29,light rain,11.1373,123.7228,Maia's Beach Resort
