City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aklavik,CA,68.2191,-135.0107,48.2,57,20,2.3,few clouds
1,College,US,64.8569,-147.8028,72.0,68,40,0.0,scattered clouds
2,Dingle,PH,10.9995,122.6711,76.12,94,100,4.81,light rain
3,Faanui,PF,-16.4833,-151.75,79.61,73,72,19.98,broken clouds
4,Hilo,US,19.7297,-155.09,83.62,64,1,4.61,clear sky
5,Vytegra,RU,61.0064,36.4481,66.78,80,51,2.21,broken clouds
6,Port Alfred,ZA,-33.5906,26.891,55.51,56,0,6.93,clear sky
7,Wamba,NG,8.9333,8.6,74.53,89,100,0.38,overcast clouds
8,Kodiak,US,57.79,-152.4072,56.71,77,90,3.44,overcast clouds
9,Tomatlan,MX,19.9333,-105.25,90.01,58,100,9.08,overcast clouds
10,Yinchuan,CN,38.4681,106.2731,79.86,50,70,4.43,broken clouds
11,Hamilton,US,39.1834,-84.5333,91.72,64,75,1.01,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,73.09,73,11,9.4,few clouds
13,Ekibastuz,KZ,51.6667,75.3667,53.71,62,25,13.71,scattered clouds
14,Bluff,NZ,-46.6,168.3333,41.81,89,79,10.94,broken clouds
15,Kavaratti,IN,10.5669,72.642,82.49,79,100,22.41,light rain
16,Busselton,AU,-33.65,115.3333,54.09,76,100,14.41,overcast clouds
17,Port Shepstone,ZA,-30.7414,30.455,56.17,54,0,7.0,clear sky
18,Norman Wells,CA,65.282,-126.8329,46.44,57,75,12.66,broken clouds
19,Komsomolskiy,UZ,40.4272,71.7189,77.72,36,61,6.91,broken clouds
20,Rorvik,NO,64.8621,11.2373,57.31,72,75,20.71,broken clouds
21,Inhambane,MZ,-23.865,35.3833,62.58,72,0,4.61,clear sky
22,Ushuaia,AR,-54.8,-68.3,33.42,93,75,3.44,light snow
23,Adiake,CI,5.2863,-3.304,78.39,87,46,7.2,scattered clouds
24,Hermanus,ZA,-34.4187,19.2345,53.91,65,0,3.58,clear sky
25,Avarua,CK,-21.2078,-159.775,75.25,94,75,2.3,light intensity shower rain
26,Butaritari,KI,3.0707,172.7902,83.61,77,100,16.96,light rain
27,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,75,75,12.66,broken clouds
28,Port Blair,IN,11.6667,92.75,81.57,78,100,13.0,overcast clouds
29,Gamba,GA,-2.65,10.0,71.35,82,88,8.52,overcast clouds
30,Albany,US,42.6001,-73.9662,87.67,68,57,1.99,broken clouds
31,Sao Felix Do Xingu,BR,-6.6447,-51.995,94.8,26,61,2.37,broken clouds
32,Pokhara,NP,28.2333,83.9833,72.45,90,99,1.97,overcast clouds
33,Krasnoarmeysk,RU,51.0239,45.6969,66.07,77,99,5.39,overcast clouds
34,Jackson,US,42.4165,-122.8345,88.16,38,1,5.75,clear sky
35,Port-Gentil,GA,-0.7193,8.7815,75.16,83,40,10.36,scattered clouds
36,Snezhnogorsk,RU,69.1933,33.2531,65.98,62,99,9.66,overcast clouds
37,Saint Anthony,US,45.0205,-93.218,83.8,40,1,1.99,clear sky
38,Mount Isa,AU,-20.7333,139.5,67.77,73,8,4.61,light rain
39,Zigong,CN,29.3416,104.7769,74.39,99,100,4.32,heavy intensity rain
40,Nizwa,OM,22.9333,57.5333,85.17,65,72,2.8,broken clouds
41,Svrljig,RS,43.4133,22.1211,75.87,95,48,5.59,light rain
42,Dalvik,IS,65.9702,-18.5286,60.73,79,93,5.73,overcast clouds
43,Vaini,TO,-21.2,-175.2,71.76,94,75,10.36,light intensity shower rain
44,Hay River,CA,60.8156,-115.7999,53.56,100,90,9.22,light rain
45,Tautira,PF,-17.7333,-149.15,80.62,80,99,15.08,light rain
46,Grand Gaube,MU,-20.0064,57.6608,72.0,71,2,4.0,clear sky
47,Ossora,RU,59.2353,163.0719,55.2,94,100,11.63,overcast clouds
48,Namibe,AO,-15.1961,12.1522,65.93,85,2,0.36,clear sky
49,Half Moon Bay,US,37.4636,-122.4286,84.81,70,20,9.22,few clouds
50,Atuona,PF,-9.8,-139.0333,77.52,75,25,26.62,light rain
51,Ostrovnoy,RU,68.0531,39.5131,52.39,90,9,8.77,clear sky
52,Northam,GB,51.0333,-4.2167,69.73,80,0,4.41,clear sky
53,Kapaa,US,22.0752,-159.319,79.12,75,75,1.99,light rain
54,Broken Hill,AU,-31.95,141.4333,49.71,62,40,14.97,scattered clouds
55,Srednekolymsk,RU,67.45,153.6833,54.72,48,0,4.43,clear sky
56,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,75,12.66,light rain
57,Mayumba,GA,-3.432,10.6554,71.02,86,72,8.97,broken clouds
58,Mataura,NZ,-46.1927,168.8643,41.49,96,100,6.33,overcast clouds
59,Ponta Do Sol,PT,32.6667,-17.1,73.71,80,1,4.61,clear sky
60,Salamiyah,SY,35.0113,37.0532,77.58,55,0,10.67,clear sky
61,Swan River,CA,52.1058,-101.2676,90.25,24,28,9.1,scattered clouds
62,Akhnur,IN,32.8667,74.7333,86.9,60,98,4.52,overcast clouds
63,Harper,LR,4.375,-7.7169,76.68,79,100,9.01,overcast clouds
64,Carballo,ES,43.213,-8.691,72.82,79,40,8.81,scattered clouds
65,Castro,BR,-24.7911,-50.0119,66.38,57,100,8.19,overcast clouds
66,Praia,CV,14.9215,-23.5087,81.14,74,20,8.05,few clouds
67,Mar Del Plata,AR,-38.0023,-57.5575,55.42,65,0,4.0,clear sky
68,Lisakovsk,KZ,52.5369,62.4936,52.84,75,100,5.48,overcast clouds
69,Glyadyanskoye,RU,54.9075,65.0883,50.31,93,100,12.06,overcast clouds
70,Paulista,BR,-7.9408,-34.8731,76.86,81,9,10.65,clear sky
71,Cidreira,BR,-30.1811,-50.2056,58.69,90,100,15.79,overcast clouds
72,Sisimiut,GL,66.9395,-53.6735,52.81,59,18,7.9,few clouds
73,Gumdag,TM,39.2061,54.5906,82.0,26,34,4.7,scattered clouds
74,Yellowknife,CA,62.456,-114.3525,48.72,100,90,1.99,light intensity shower rain
75,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,2.3,broken clouds
76,Muli,MV,2.9167,73.5667,83.23,71,74,7.2,broken clouds
77,Araouane,ML,18.9048,-3.5265,99.07,25,14,9.55,few clouds
78,Bud,US,39.447,-86.1758,89.55,59,25,13.29,scattered clouds
79,Port Elizabeth,ZA,-33.918,25.5701,50.29,81,40,3.44,scattered clouds
80,Evanston,US,42.0411,-87.6901,81.1,78,75,1.99,broken clouds
81,Bredasdorp,ZA,-34.5322,20.0403,47.52,87,0,3.44,clear sky
82,Rundu,NA,-17.9333,19.7667,58.3,39,1,6.93,clear sky
83,Cape Town,ZA,-33.9258,18.4232,54.12,83,0,1.14,clear sky
84,Lagoa,PT,39.05,-27.9833,70.59,82,3,7.34,clear sky
85,Haines Junction,CA,60.7522,-137.5108,66.06,48,62,4.16,light rain
86,Hokitika,NZ,-42.7167,170.9667,55.98,95,100,25.39,moderate rain
87,Hobart,AU,-42.8794,147.3294,44.02,96,97,5.75,light rain
88,Buraydah,SA,26.326,43.975,100.85,13,100,10.0,overcast clouds
89,Salalah,OM,17.0151,54.0924,82.49,83,75,5.75,broken clouds
90,Sabang,ID,5.8933,95.3214,82.17,74,85,11.18,overcast clouds
91,Flin Flon,CA,54.7682,-101.865,84.04,39,75,9.22,haze
92,Salinas,US,36.6777,-121.6555,80.56,68,40,10.36,scattered clouds
93,Qaanaaq,GL,77.484,-69.3632,37.45,81,100,6.06,overcast clouds
94,Newport,GB,51.5877,-2.9984,71.85,72,8,6.87,clear sky
95,Sabak,MY,3.7675,100.9875,78.85,84,100,2.62,overcast clouds
96,New Norfolk,AU,-42.7826,147.0587,43.66,91,100,2.08,overcast clouds
97,Oktyabrskoye,RU,43.0645,44.7417,64.54,77,29,4.47,scattered clouds
98,Korla,CN,41.7597,86.1469,81.81,27,0,8.88,clear sky
99,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,41,11.39,scattered clouds
100,Lompoc,US,34.6391,-120.4579,86.77,68,1,12.66,clear sky
101,Erbaa,TR,40.6689,36.5675,74.19,95,22,3.42,few clouds
102,Jatiroto,ID,-7.8833,111.1167,69.98,86,97,4.63,overcast clouds
103,Punta Arenas,CL,-53.15,-70.9167,37.51,100,90,5.75,light rain
104,Champerico,GT,14.3,-91.9167,93.76,70,54,5.28,broken clouds
105,Carnarvon,AU,-24.8667,113.6333,55.47,65,88,10.36,overcast clouds
106,Lasa,IT,46.6166,10.7002,59.74,94,100,3.02,overcast clouds
107,Barrow,US,71.2906,-156.7887,44.62,70,40,14.97,scattered clouds
108,Shingu,JP,33.7333,135.9833,72.91,94,100,5.73,overcast clouds
109,Nikolskoye,RU,59.7035,30.7861,76.89,84,17,2.84,few clouds
110,Alofi,NU,-19.0595,-169.9187,75.09,94,4,11.5,clear sky
111,Yamaranguila,HN,14.2833,-88.25,74.82,44,52,8.21,broken clouds
112,Nanortalik,GL,60.1432,-45.2371,47.32,78,20,12.19,few clouds
113,Dikson,RU,73.5069,80.5464,34.3,93,100,14.36,overcast clouds
114,Jiangkou,CN,25.4872,119.1986,82.29,86,100,9.06,overcast clouds
115,Sinnamary,GF,5.3833,-52.95,81.61,75,76,8.97,broken clouds
116,Provideniya,RU,64.3833,-173.3,46.51,87,75,17.9,mist
117,Georgetown,MY,5.4112,100.3354,82.89,87,20,5.99,light rain
118,Tocopilla,CL,-22.092,-70.1979,63.14,72,16,8.86,few clouds
119,Orodara,BF,10.9492,-4.9342,84.58,68,62,3.83,broken clouds
120,Suba,PH,10.8438,121.0102,80.22,86,100,21.0,moderate rain
121,Tilichiki,RU,60.4667,166.1,58.51,81,100,3.76,overcast clouds
122,Nhulunbuy,AU,-12.2333,136.7667,74.01,100,98,3.44,overcast clouds
123,Weihe,CN,32.9952,105.3247,66.56,95,100,4.32,overcast clouds
124,East London,ZA,-33.0153,27.9116,56.89,42,0,6.98,clear sky
125,Rio Pardo De Minas,BR,-15.6097,-42.5397,79.63,34,4,6.38,clear sky
126,Maceio,BR,-9.6658,-35.7353,74.64,94,75,8.05,mist
127,San Isidro,PE,-12.1167,-77.05,70.02,86,90,3.0,overcast clouds
128,Gillette,US,44.2911,-105.5022,87.82,23,1,1.01,clear sky
129,Kruisfontein,ZA,-34.0033,24.7314,44.89,56,32,4.92,scattered clouds
130,Victoria Point,AU,-27.5833,153.3,66.42,93,41,1.99,scattered clouds
131,Port Keats,AU,-14.25,129.55,70.29,59,100,2.73,overcast clouds
132,Kahului,US,20.8947,-156.47,84.97,71,40,21.85,scattered clouds
133,Sosnovo-Ozerskoye,RU,52.5249,111.5418,52.36,89,0,4.21,clear sky
134,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,52,5.99,broken clouds
135,Saint George,US,37.1041,-113.5841,94.62,41,9,3.0,clear sky
136,Bahia Blanca,AR,-38.7196,-62.2724,56.32,31,0,8.57,clear sky
137,Fortuna,US,40.5982,-124.1573,78.19,90,75,1.99,broken clouds
138,Ankang,CN,32.68,109.0172,75.33,98,100,1.86,overcast clouds
139,Fairbanks,US,64.8378,-147.7164,72.01,68,1,1.99,clear sky
140,Chokurdakh,RU,70.6333,147.9167,53.4,48,100,16.58,overcast clouds
141,Takoradi,GH,4.8845,-1.7554,76.91,83,100,9.37,overcast clouds
142,Geraldton,AU,-28.7667,114.6,52.21,93,40,8.05,scattered clouds
143,Grindavik,IS,63.8424,-22.4338,55.35,93,75,19.57,broken clouds
144,Te Anau,NZ,-45.4167,167.7167,44.2,94,96,2.04,overcast clouds
145,Tindwari,IN,25.6167,80.5333,91.36,50,88,10.83,overcast clouds
146,Valencia,ES,39.3333,-0.8333,73.02,72,2,4.99,clear sky
147,Lebu,CL,-37.6167,-73.65,54.1,71,91,5.93,overcast clouds
148,Sinjai,ID,-5.1241,120.253,74.39,87,100,2.73,overcast clouds
149,Victoria,HK,22.2855,114.1577,86.38,80,76,1.01,broken clouds
150,Kununurra,AU,-15.7667,128.7333,62.58,82,98,5.75,overcast clouds
151,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,73,20,17.27,few clouds
152,Mahebourg,MU,-20.4081,57.7,71.89,73,75,12.66,light rain
153,Banjar,ID,-8.19,114.9675,78.66,85,20,6.17,few clouds
154,Yumen,CN,40.2833,97.2,74.84,38,0,4.9,clear sky
155,Bengkulu,ID,-3.8004,102.2655,75.69,83,100,3.94,overcast clouds
156,Aktau,KZ,43.65,51.2,75.78,41,0,9.17,clear sky
157,Batagay-Alyta,RU,67.8006,130.4114,50.92,57,0,3.98,clear sky
158,Bolshaya Sosnova,RU,57.6713,54.6029,58.8,86,58,4.7,broken clouds
159,Katsuura,JP,35.1333,140.3,79.11,93,100,3.69,overcast clouds
160,Hasaki,JP,35.7333,140.8333,75.6,93,95,5.01,overcast clouds
161,Kaeo,NZ,-35.1,173.7833,57.33,78,90,13.71,overcast clouds
162,Harsin,IR,34.2721,47.5861,81.41,21,0,3.02,clear sky
163,Da Nang,VN,16.0678,108.2208,82.38,83,20,2.3,few clouds
164,Murygino,RU,58.7383,49.4582,65.8,68,100,3.13,overcast clouds
165,Coahuayana,MX,18.7333,-103.6833,89.04,65,81,6.35,broken clouds
166,Ayr,GB,55.4627,-4.6339,68.99,72,0,11.5,clear sky
167,Pitimbu,BR,-7.4706,-34.8086,81.19,80,6,13.13,clear sky
168,Messina,IT,38.1933,15.5497,79.0,69,40,5.01,scattered clouds
169,Monrovia,LR,6.3005,-10.7969,78.57,80,82,8.84,broken clouds
170,Jamestown,US,42.097,-79.2353,83.52,61,20,7.0,few clouds
171,Sal Rei,CV,16.1833,-22.9167,79.0,73,75,13.8,broken clouds
172,Nishihara,JP,26.1842,127.7558,81.68,84,40,6.91,scattered clouds
173,Kaitangata,NZ,-46.2817,169.8464,46.02,95,100,10.8,overcast clouds
174,Sitka,US,57.0531,-135.33,57.09,77,90,4.61,light rain
175,Makakilo City,US,21.3469,-158.0858,81.61,60,1,12.66,haze
176,Severodvinsk,RU,64.5635,39.8302,53.71,90,3,5.99,clear sky
177,Garden City,US,42.3256,-83.331,86.14,60,40,1.01,scattered clouds
