City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Petropavlovsk-Kamchatskiy,RU,2021-07-12 18:21:43,53.0452,158.6483,55.99,100,40,6.71
1,Dikson,RU,2021-07-12 18:21:43,73.5069,80.5464,33.37,94,100,21.52
2,Puerto Ayora,EC,2021-07-12 18:21:32,-0.7393,-90.3518,74.55,82,43,5.01
3,Hualmay,PE,2021-07-12 18:21:44,-11.0964,-77.6139,68.76,68,95,11.95
4,Mazamari,PE,2021-07-12 18:21:44,-11.3258,-74.5308,85.96,48,74,2.89
5,Natal,BR,2021-07-12 18:20:11,-5.795,-35.2094,84.42,65,75,18.41
6,Mataura,NZ,2021-07-12 18:21:45,-46.1927,168.8643,39.78,97,100,1.95
7,Ishigaki,JP,2021-07-12 18:21:45,24.3448,124.1572,84.11,76,16,12.37
8,Muros,ES,2021-07-12 18:21:46,42.7762,-9.0603,67.14,62,5,13.89
9,Port Elizabeth,ZA,2021-07-12 18:21:46,-33.918,25.5701,57.49,72,75,25.32
10,Upington,ZA,2021-07-12 18:21:46,-28.4478,21.2561,50.38,81,40,14.97
11,Kapaa,US,2021-07-12 18:21:47,22.0752,-159.319,80.58,83,75,1.01
12,Nome,US,2021-07-12 18:21:47,64.5011,-165.4064,58.15,76,1,6.91
13,Olafsvik,IS,2021-07-12 18:21:48,64.8945,-23.7142,51.78,95,100,14.18
14,Magadan,RU,2021-07-12 18:21:48,59.5667,150.8,50.76,95,100,4.61
15,Punta Arenas,CL,2021-07-12 18:21:48,-53.15,-70.9167,37.42,86,75,32.21
16,Cape Town,ZA,2021-07-12 18:20:03,-33.9258,18.4232,51.12,63,40,8.05
17,Hasaki,JP,2021-07-12 18:21:49,35.7333,140.8333,73.8,94,100,8.43
18,Atuona,PF,2021-07-12 18:21:49,-9.8,-139.0333,78.17,76,24,20.65
19,Rikitea,PF,2021-07-12 18:21:49,-23.1203,-134.9692,73.78,75,27,12.68
20,Bengkulu,ID,2021-07-12 18:21:50,-3.8004,102.2655,74.44,91,64,4.79
21,Anadyr,RU,2021-07-12 18:21:50,64.75,177.4833,59.5,82,0,5.99
22,Mwene-Ditu,CD,2021-07-12 18:21:50,-7.0,23.45,70.48,23,6,3.67
23,Sambava,MG,2021-07-12 18:21:51,-14.2667,50.1667,71.01,84,10,11.63
24,New Norfolk,AU,2021-07-12 18:21:51,-42.7826,147.0587,50.92,82,99,3.44
25,Miri,MY,2021-07-12 18:21:52,4.4148,114.0089,77.14,94,20,2.3
26,Hue,VN,2021-07-12 18:20:38,16.4667,107.6,80.71,78,20,3.44
27,Constantine,DZ,2021-07-12 18:21:52,36.365,6.6147,96.64,19,71,6.67
28,Lompoc,US,2021-07-12 18:21:53,34.6391,-120.4579,90.01,65,1,9.22
29,Mahebourg,MU,2021-07-12 18:21:53,-20.4081,57.7,71.89,68,40,17.27
30,Clyde River,CA,2021-07-12 18:21:54,70.4692,-68.5914,61.03,48,75,12.66
31,Ushuaia,AR,2021-07-12 18:21:31,-54.8,-68.3,33.46,86,90,9.22
32,Tuatapere,NZ,2021-07-12 18:21:54,-46.1333,167.6833,40.73,89,93,4.05
33,Leningradskiy,RU,2021-07-12 18:21:55,69.3833,178.4167,57.9,71,46,4.99
34,Kaitangata,NZ,2021-07-12 18:21:55,-46.2817,169.8464,41.94,83,83,5.64
35,Barrow,US,2021-07-12 18:18:38,71.2906,-156.7887,48.22,71,1,18.41
36,Butaritari,KI,2021-07-12 18:21:56,3.0707,172.7902,81.88,79,46,13.78
37,Bouza,NE,2021-07-12 18:21:56,14.4229,6.0428,84.24,57,89,14.81
38,Dabwali,IN,2021-07-12 18:21:56,29.95,74.7333,95.25,44,36,10.07
